created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2019-01-25 16:11:34 IST,173,,58.00,,,,
2019-01-25 16:11:49 IST,174,,58.00,,,,
2019-01-25 16:12:04 IST,175,,58.00,,,,
2019-01-25 16:12:20 IST,176,,58.00,,,,
2019-01-25 16:12:42 IST,177,,58.00,,,,
2019-01-25 16:13:03 IST,178,,58.00,,,,
2019-01-25 16:13:24 IST,179,,59.00,,,,
2019-01-25 16:13:40 IST,180,,58.00,,,,
2019-01-25 16:14:02 IST,181,,58.00,,,,
2019-01-25 16:14:23 IST,182,,58.00,,,,
2019-01-25 16:14:45 IST,183,,57.00,,,,
2019-01-25 16:15:00 IST,184,,61.00,,,,
2019-01-25 16:15:16 IST,185,,65.00,,,,
2019-01-25 16:15:31 IST,186,,68.00,,,,
2019-01-25 16:15:46 IST,187,,68.00,,,,
2019-01-25 16:16:08 IST,188,,60.00,,,,
2019-01-25 16:16:30 IST,189,,62.00,,,,
2019-01-25 16:16:51 IST,190,,61.00,,,,
2019-01-25 16:17:13 IST,191,,58.00,,,,
2019-01-25 16:17:35 IST,192,,56.00,,,,
2019-01-25 16:17:57 IST,193,,61.00,,,,
2019-01-25 16:18:12 IST,194,,58.00,,,,
2019-01-25 16:18:28 IST,195,,55.00,,,,
2019-01-25 16:18:43 IST,196,,55.00,,,,
2019-01-25 16:18:59 IST,197,,54.00,,,,
2019-01-25 16:19:14 IST,198,,54.00,,,,
2019-01-25 16:19:30 IST,199,,53.00,,,,
2019-01-25 16:19:46 IST,200,,54.00,,,,
2019-01-25 16:20:08 IST,201,,53.00,,,,
2019-01-25 16:20:24 IST,202,,55.00,,,,
2019-01-25 16:20:40 IST,203,,55.00,,,,
2019-01-25 16:21:02 IST,204,,55.00,,,,
2019-01-25 16:21:17 IST,205,,53.00,,,,
2019-01-25 16:21:39 IST,206,,53.00,,,,
2019-01-25 16:21:54 IST,207,,55.00,,,,
2019-01-25 16:22:09 IST,208,,54.00,,,,
2019-01-25 16:22:25 IST,209,,55.00,,,,
2019-01-25 16:22:48 IST,210,,55.00,,,,
2019-01-25 16:23:05 IST,211,,54.00,,,,
2019-01-25 16:23:20 IST,212,,53.00,,,,
2019-01-25 16:23:35 IST,213,,53.00,,,,
2019-01-25 16:23:58 IST,214,,53.00,,,,
2019-01-25 16:24:13 IST,215,,53.00,,,,
2019-01-25 16:24:29 IST,216,,53.00,,,,
2019-01-25 16:24:44 IST,217,,54.00,,,,
2019-01-25 16:25:06 IST,218,,55.00,,,,
2019-01-25 16:25:22 IST,219,,55.00,,,,
2019-01-25 16:25:44 IST,220,,55.00,,,,
2019-01-25 16:26:07 IST,221,,56.00,,,,
2019-01-25 16:26:22 IST,222,,56.00,,,,
2019-01-25 16:26:44 IST,223,,56.00,,,,
2019-01-25 16:26:59 IST,224,,56.00,,,,
2019-01-25 16:27:16 IST,225,,56.00,,,,
2019-01-25 16:27:32 IST,226,,56.00,,,,
2019-01-25 16:27:47 IST,227,,57.00,,,,
2019-01-25 16:28:09 IST,228,,58.00,,,,
2019-01-25 16:28:25 IST,229,,58.00,,,,
2019-01-25 16:28:40 IST,230,,57.00,,,,
2019-01-25 16:28:55 IST,231,,57.00,,,,
2019-01-25 16:29:10 IST,232,,57.00,,,,
2019-01-25 16:29:33 IST,233,,58.00,,,,
2019-01-25 16:29:48 IST,234,,58.00,,,,
2019-01-25 16:30:03 IST,235,,58.00,,,,
2019-01-25 16:30:24 IST,236,,58.00,,,,
2019-01-25 16:30:40 IST,237,,58.00,,,,
2019-01-25 16:31:01 IST,238,,58.00,,,,
2019-01-25 16:31:23 IST,239,,57.00,,,,
2019-01-25 16:31:44 IST,240,,58.00,,,,
2019-01-25 16:32:06 IST,241,,58.00,,,,
2019-01-25 16:32:28 IST,242,,59.00,,,,
2019-01-25 16:32:50 IST,243,,59.00,,,,
2019-01-25 16:33:11 IST,244,,59.00,,,,
2019-01-25 16:33:33 IST,245,,59.00,,,,
2019-01-25 16:33:48 IST,246,,58.00,,,,
2019-01-25 16:34:04 IST,247,,58.00,,,,
2019-01-25 16:34:19 IST,248,,58.00,,,,
2019-01-25 16:34:34 IST,249,,58.00,,,,
2019-01-25 16:34:56 IST,250,,58.00,,,,
2019-01-25 16:35:11 IST,251,,58.00,,,,
2019-01-25 16:35:27 IST,252,,58.00,,,,
2019-01-25 16:35:49 IST,253,,59.00,,,,
2019-01-25 16:36:10 IST,254,,59.00,,,,
2019-01-25 16:36:32 IST,255,,59.00,,,,
2019-01-25 16:36:54 IST,256,,58.00,,,,
2019-01-25 16:37:17 IST,257,,58.00,,,,
2019-01-25 16:37:39 IST,258,,58.00,,,,
2019-01-25 16:37:54 IST,259,,59.00,,,,
2019-01-25 16:38:10 IST,260,,58.00,,,,
2019-01-25 16:38:25 IST,261,,58.00,,,,
2019-01-25 16:38:41 IST,262,,58.00,,,,
2019-01-25 16:39:26 IST,263,22.00,58.00,,,,
2019-01-25 16:39:48 IST,264,22.00,58.00,,,,
2019-01-25 16:40:10 IST,265,22.00,58.00,,,,
2019-01-25 16:40:32 IST,266,22.00,58.00,,,,
2019-01-25 16:40:54 IST,267,22.00,58.00,,,,
2019-01-25 16:41:16 IST,268,22.00,57.00,,,,
2019-01-25 16:41:38 IST,269,22.00,58.00,,,,
2019-01-25 16:42:00 IST,270,21.00,57.00,,,,
2019-01-25 16:42:23 IST,271,21.00,58.00,,,,
2019-01-25 16:42:40 IST,272,21.00,57.00,,,,
2019-01-25 16:42:55 IST,273,21.00,58.00,,,,
2019-01-25 16:43:11 IST,274,21.00,58.00,,,,
2019-01-25 16:43:27 IST,275,21.00,58.00,,,,
2019-01-25 16:43:49 IST,276,21.00,58.00,,,,
2019-01-25 16:44:29 IST,277,,59.00,,,,
2019-01-25 16:44:44 IST,278,,58.00,,,,
2019-01-25 16:44:59 IST,279,,58.00,,,,
2019-01-25 16:45:22 IST,280,,59.00,,,,
2019-01-25 16:45:45 IST,281,,59.00,,,,
2019-01-25 16:46:01 IST,282,,58.00,,,,
2019-01-25 16:46:23 IST,283,,59.00,,,,
2019-01-25 16:46:46 IST,284,,59.00,,,,
2019-01-25 16:47:08 IST,285,,59.00,,,,
2019-01-25 16:47:24 IST,286,,58.00,,,,
2019-01-25 16:47:40 IST,287,,58.00,,,,
2019-01-25 16:47:55 IST,288,,58.00,,,,
2019-01-25 16:48:16 IST,289,,59.00,,,,
2019-01-25 16:49:02 IST,290,21.00,59.00,,,,
2019-01-25 16:49:19 IST,291,21.00,59.00,,,,
2019-01-25 16:49:34 IST,292,20.00,58.00,,,,
2019-01-25 16:49:50 IST,293,20.00,59.00,,,,
2019-01-25 16:50:36 IST,294,,58.00,,,,
2019-01-25 16:50:58 IST,295,,59.00,,,,
2019-01-25 16:51:14 IST,296,,59.00,,,,
2019-01-25 16:51:36 IST,297,,60.00,,,,
2019-01-25 16:52:17 IST,298,20.00,59.00,,,,
2019-01-25 16:52:33 IST,299,20.00,60.00,,,,
2019-01-25 16:52:48 IST,300,20.00,60.00,,,,
2019-01-25 16:53:10 IST,301,20.00,60.00,,,,
2019-01-25 16:53:52 IST,302,,61.00,,,,
2019-01-25 16:54:14 IST,303,,60.00,,,,
2019-01-25 16:54:30 IST,304,,60.00,,,,
2019-01-25 16:54:51 IST,305,,60.00,,,,
2019-01-25 16:55:07 IST,306,,60.00,,,,
2019-01-25 16:55:23 IST,307,,59.00,,,,
2019-01-25 16:56:19 IST,308,20.00,60.00,,,,
2019-01-25 16:56:34 IST,309,20.00,60.00,,,,
2019-01-25 16:56:55 IST,310,20.00,60.00,,,,
2019-01-25 16:57:17 IST,311,20.00,60.00,,,,
2019-01-25 16:57:32 IST,312,20.00,59.00,,,,
2019-01-25 16:58:13 IST,313,,59.00,,,,
2019-01-25 16:58:34 IST,314,,60.00,,,,
2019-01-25 16:58:54 IST,315,,60.00,,,,
2019-01-25 16:59:17 IST,316,,59.00,,,,
2019-01-25 16:59:32 IST,317,,59.00,,,,
2019-01-25 16:59:48 IST,318,,59.00,,,,
2019-01-25 17:00:03 IST,319,,59.00,,,,
2019-01-25 17:00:19 IST,320,,60.00,,,,
2019-01-25 17:00:41 IST,321,,59.00,,,,
2019-01-25 17:00:56 IST,322,,59.00,,,,
2019-01-25 17:01:19 IST,323,,60.00,,,,
2019-01-25 17:01:40 IST,324,,60.00,,,,
2019-01-25 17:01:56 IST,325,,59.00,,,,
2019-01-25 17:02:12 IST,326,,59.00,,,,
2019-01-25 17:02:34 IST,327,,59.00,,,,
2019-01-25 17:02:56 IST,328,,60.00,,,,
2019-01-25 17:03:37 IST,329,20.00,59.00,,,,
2019-01-25 17:03:53 IST,330,20.00,60.00,,,,
2019-01-25 17:04:08 IST,331,20.00,60.00,,,,
2019-01-25 17:04:31 IST,332,20.00,60.00,,,,
2019-01-25 17:04:47 IST,333,20.00,59.00,,,,
2019-01-25 17:05:02 IST,334,20.00,59.00,,,,
2019-01-25 17:05:18 IST,335,20.00,59.00,,,,
2019-01-25 17:05:40 IST,336,20.00,59.00,,,,
2019-01-25 17:05:56 IST,337,20.00,58.00,,,,
2019-01-25 17:06:12 IST,338,20.00,58.00,,,,
2019-01-25 17:06:27 IST,339,20.00,59.00,,,,
2019-01-25 17:06:43 IST,340,20.00,59.00,,,,
2019-01-25 17:06:59 IST,341,20.00,59.00,,,,
2019-01-25 17:07:14 IST,342,20.00,59.00,,,,
2019-01-25 17:07:29 IST,343,20.00,59.00,,,,
2019-01-25 17:07:45 IST,344,20.00,59.00,,,,
2019-01-25 17:08:00 IST,345,20.00,59.00,,,,
2019-01-25 17:08:16 IST,346,20.00,59.00,,,,
